legalEntityIdentifier;lastPublicUpdate;status;assignmentDate;renewalDate;expirationDate;expirationReason;successorLei;successorName;registeredName;legalEntityStatus;businessRegisterCode;businessRegistryIdentifier;legalForm;legalRegistrationAddress.firstAddressLine;legalRegistrationAddress.additionalAddressLine1;legalRegistrationAddress.additionalAddressLine2;legalRegistrationAddress.additionalAddressLine3;legalRegistrationAddress.city;legalRegistrationAddress.postalCode;legalRegistrationAddress.region;legalRegistrationAddress.country;headquartersAddress.firstAddressLine;headquartersAddress.additionalAddressLine1;headquartersAddress.additionalAddressLine2;headquartersAddress.additionalAddressLine3;headquartersAddress.city;headquartersAddress.postalCode;headquartersAddress.region;headquartersAddress.country;legalJurisdiction;entityCategory;validationSources;validationAuthorityID;validationAuthorityEntityID;managingLou
984500F6038AD2FF6584;27-12-2022;ISSUED;18-12-2019;27-12-2023;;;;;Stichting Calteneych Beheer;ACTIVE;RA000463;73469971;Stichting;Rozenburglaan 60;;;;Rotterdam;3062EE;;NL;Rozenburglaan 60;;;;Rotterdam;3062EE;;NL;NL;;FULLY_CORROBORATED;RA000463;73469971;724500A93Z8V1MJK5349
724500GVNMN346F0AG67;27-12-2022;ISSUED;18-02-2021;18-02-2023;;;;;Ladura B.V.;ACTIVE;RA000463;60557834;Besloten Vennootschap;Marcelis van Bemmelstraat 7;;;;Apeldoorn;7334DW;;NL;Marcelis van Bemmelstraat 7;;;;Apeldoorn;7334DW;;NL;NL;;FULLY_CORROBORATED;RA000463;60557834;724500A93Z8V1MJK5349
724500Y7416DPBQEEI47;27-12-2022;ISSUED;11-02-2022;11-02-2023;;;;;ARGO B.V.;ACTIVE;RA000463;73283185;Besloten Vennootschap;Frans Halsstraat 12;;;;Clinge;4567CX;;NL;Frans Halsstraat 12;;;;Clinge;4567CX;;NL;NL;;FULLY_CORROBORATED;RA000463;73283185;724500A93Z8V1MJK5349
724500B1RJMQI079HK12;27-12-2022;LAPSED;21-01-2019;27-12-2022;;;;;Systicon Holding B.V.;ACTIVE;RA000463;24167402;Besloten Vennootschap;Blindeweg 5;;;;Tinte;3234KL;;NL;Blindeweg 5;;;;Tinte;3234KL;;NL;NL;;FULLY_CORROBORATED;RA000463;24167402;724500A93Z8V1MJK5349
724500BPLTYLU85WIS16;27-12-2022;LAPSED;27-12-2017;27-12-2022;;;;;Ef-Es B.V.;ACTIVE;RA000463;22028390;Besloten Vennootschap;Houtenhandlaan 4;;;;Koudekerke;4371PW;;NL;Houtenhandlaan 4;;;;Koudekerke;4371PW;;NL;NL;;FULLY_CORROBORATED;RA000463;22028390;724500A93Z8V1MJK5349
72450091JFKKORSCZT48;27-12-2022;LAPSED;28-02-2014;27-12-2022;;;;;Hyva Group B.V.;ACTIVE;RA000463;28099546;Besloten Vennootschap;A. van Leeuwenhoekweg 37;;;;Alphen aan den Rijn;2408AK;;NL;A. van Leeuwenhoekweg 37;;;;Alphen aan den Rijn;2408AK;;NL;NL;;FULLY_CORROBORATED;RA000463;28099546;724500A93Z8V1MJK5349
72450048LAL2DO32N749;27-12-2022;LAPSED;27-12-2017;27-12-2022;;;;;Misaberon B.V.;ACTIVE;RA000463;34071931;Besloten Vennootschap;Kruisstraat 8A;;;;Haarlem;2011PX;;NL;Kruisstraat 8A;;;;Haarlem;2011PX;;NL;NL;;FULLY_CORROBORATED;RA000463;34071931;724500A93Z8V1MJK5349
724500VY5NRIFP47FK82;27-12-2022;LAPSED;27-12-2017;27-12-2022;;;;;Slotsom B.V.;ACTIVE;RA000463;20086162;Besloten Vennootschap;'s Heerenwei 33;;;;Zevenbergen;4761VD;;NL;'s Heerenwei 33;;;;Zevenbergen;4761VD;;NL;NL;;FULLY_CORROBORATED;RA000463;20086162;724500A93Z8V1MJK5349
724500TH2PPZUVGSFB63;27-12-2022;LAPSED;27-12-2017;27-12-2022;;;;;Neij Beheer B.V.;ACTIVE;RA000463;10143249;Besloten Vennootschap;de Balmerd 114;;;;Beuningen Gld;6641LE;;NL;de Balmerd 114;;;;Beuningen Gld;6641LE;;NL;NL;;FULLY_CORROBORATED;RA000463;10143249;724500A93Z8V1MJK5349
724500Y7NHCV8QEZNO52;27-12-2022;LAPSED;27-12-2017;27-12-2022;;;;;Spin-Off Fonds Brabant B.V.;ACTIVE;RA000463;17284920;Besloten Vennootschap;Goirleseweg 15;;;;Tilburg;5026PB;;NL;Goirleseweg 15;;;;Tilburg;5026PB;;NL;NL;;FULLY_CORROBORATED;RA000463;17284920;724500A93Z8V1MJK5349
72450062ULQ1G93USV76;27-12-2022;LAPSED;27-12-2017;27-12-2022;;;;;M. van der Linden Beheer B.V.;ACTIVE;RA000463;17052387;Besloten Vennootschap;Kaldersedijk 21;;;;Helmond;5706KD;;NL;Kaldersedijk 21;;;;Helmond;5706KD;;NL;NL;;FULLY_CORROBORATED;RA000463;17052387;724500A93Z8V1MJK5349
7245001DICG8Y3ZD1V41;27-12-2022;LAPSED;27-12-2017;27-12-2022;;;;;Research Stichting Cardiologie Maastricht;ACTIVE;RA000463;14059127;Stichting;Houthemerweg 74;;;;Meerssen;6231KW;;NL;Houthemerweg 74;;;;Meerssen;6231KW;;NL;NL;;FULLY_CORROBORATED;RA000463;14059127;724500A93Z8V1MJK5349
724500Y35F3D58YO6Y97;27-12-2022;LAPSED;27-12-2019;27-12-2022;;;;;Luk B.V.;ACTIVE;RA000463;27188544;Besloten Vennootschap;Thorbeckelaan 297;;;;'s-Gravenhage;2564BM;;NL;Thorbeckelaan 297;;;;'s-Gravenhage;2564BM;;NL;NL;;FULLY_CORROBORATED;RA000463;27188544;724500A93Z8V1MJK5349
724500S3ESVWXMP64G37;27-12-2022;LAPSED;27-12-2017;27-12-2022;;;;;N. Keulen Pensioen B.V.;ACTIVE;RA000463;36013737;Besloten Vennootschap;Lekerweg 10;;;;Oosterleek;1609GE;;NL;Lekerweg 10;;;;Oosterleek;1609GE;;NL;NL;;FULLY_CORROBORATED;RA000463;36013737;724500A93Z8V1MJK5349
724500DFGKC81T8J9K81;27-12-2022;LAPSED;27-12-2017;27-12-2022;;;;;L.J. Groeneveld Holding B.V.;ACTIVE;RA000463;29029437;Besloten Vennootschap;Dyksterwei 15;;;;Lioessens;9134DA;;NL;Dyksterwei 15;;;;Lioessens;9134DA;;NL;NL;;FULLY_CORROBORATED;RA000463;29029437;724500A93Z8V1MJK5349
724500AFSQU985LASU96;27-12-2022;LAPSED;27-12-2017;27-12-2022;;;;;P.M.T.R. Holding B.V.;ACTIVE;RA000463;24387427;Besloten Vennootschap;Oudelandselaan 259;;;;Berkel en Rodenrijs;2652ER;;NL;Oudelandselaan 259;;;;Berkel en Rodenrijs;2652ER;;NL;NL;;FULLY_CORROBORATED;RA000463;24387427;724500A93Z8V1MJK5349
724500AY0707IUH2A056;27-12-2022;LAPSED;27-12-2021;27-12-2022;;;;;Vincent Fonville t.h.o.d.n. ZEKER Financiële Zorgverlening;ACTIVE;RA000463;67301681;Eenmanszaak;Postbus 50066;;;;Almere;1305 AB;;NL;Postbus 50066;;;;Almere;1305 AB;;NL;NL;SOLE_PROPRIETOR;FULLY_CORROBORATED;RA000463;67301681;724500A93Z8V1MJK5349
724500MOWMXCUERDVG57;27-12-2022;LAPSED;27-12-2017;27-12-2022;;;;;Facet Rijsenhout B.V.;ACTIVE;RA000463;34113447;Besloten Vennootschap;Leimuiderdijk 194;;;;Rijsenhout;1435CZ;;NL;Leimuiderdijk 194;;;;Rijsenhout;1435CZ;;NL;NL;;FULLY_CORROBORATED;RA000463;34113447;724500A93Z8V1MJK5349
724500FEX9BNH6M57Z44;27-12-2022;LAPSED;27-12-2021;27-12-2022;;;;;SWK Beheer B.V.;ACTIVE;RA000463;59457775;Besloten Vennootschap;Meidoorn 19;;;;Geldrop;5666AS;;NL;Meidoorn 19;;;;Geldrop;5666AS;;NL;NL;;FULLY_CORROBORATED;RA000463;59457775;724500A93Z8V1MJK5349
724500FRJ3FS7OIJAU59;27-12-2022;LAPSED;27-12-2017;27-12-2022;;;;;Signs & Symptoms B.V.;ACTIVE;RA000463;33237772;Besloten Vennootschap;Scheepstimmermanstraat 66;;;;Amsterdam;1019WZ;;NL;Scheepstimmermanstraat 66;;;;Amsterdam;1019WZ;;NL;NL;;FULLY_CORROBORATED;RA000463;33237772;724500A93Z8V1MJK5349
7245000RSDIVMUVK6D78;27-12-2022;LAPSED;27-12-2021;27-12-2022;;;;;J.C.F. Lemmens Beheer B.V.;ACTIVE;RA000463;69104190;Besloten Vennootschap;Boompjes 258;;;;Rotterdam;3011XZ;;NL;Boompjes 258;;;;Rotterdam;3011XZ;;NL;NL;;FULLY_CORROBORATED;RA000463;69104190;724500A93Z8V1MJK5349
724500KO6U8H0BPBRI65;27-12-2022;LAPSED;05-06-2014;27-12-2022;;;;;De Windhoek B.V.;ACTIVE;RA000463;22045940;Besloten Vennootschap;Kerklaan 8;;;;Hansweert;4417BD;;NL;Kerklaan 8;;;;Hansweert;4417BD;;NL;NL;;FULLY_CORROBORATED;RA000463;22045940;724500A93Z8V1MJK5349
724500FUU31MNV7KBX76;27-12-2022;LAPSED;27-12-2017;27-12-2022;;;;;J.H. te Raa C.V.;ACTIVE;RA000463;39060080;Commanditaire Vennootschap;Lageweg 1;;;;Blankenham;8373EC;;NL;Lageweg 1;;;;Blankenham;8373EC;;NL;NL;;FULLY_CORROBORATED;RA000463;39060080;724500A93Z8V1MJK5349
724500ULLMB1E9SIWS07;27-12-2022;LAPSED;27-12-2021;27-12-2022;;;;;Besme Holding B.V.;ACTIVE;RA000463;09195015;Besloten Vennootschap;Groeneweg 1a;;;;Zeddam;7038ED;;NL;Groeneweg 1a;;;;Zeddam;7038ED;;NL;NL;;FULLY_CORROBORATED;RA000463;09195015;724500A93Z8V1MJK5349
724500X61WSY5G1K1S52;27-12-2022;LAPSED;27-12-2017;27-12-2022;;;;;Investeringsmaatschappij Wolters B.V.;ACTIVE;RA000463;14084365;Besloten Vennootschap;Douve Weienstraat 26;;;;Heerlen;6417GK;;NL;Douve Weienstraat 26;;;;Heerlen;6417GK;;NL;NL;;FULLY_CORROBORATED;RA000463;14084365;724500A93Z8V1MJK5349
724500DJOM96AYTGZD74;27-12-2022;LAPSED;27-12-2017;27-12-2022;;;;;Askevo B.V.;ACTIVE;RA000463;30232252;Besloten Vennootschap;Kleine Wiel 23;;;;Gorinchem;4207AM;;NL;Kleine Wiel 23;;;;Gorinchem;4207AM;;NL;NL;;FULLY_CORROBORATED;RA000463;30232252;724500A93Z8V1MJK5349
724500F7A4SSN3KQXK42;27-12-2022;ISSUED;18-02-2019;18-02-2023;;;;;Goudvink Holding B.V.;ACTIVE;RA000463;24318790;Besloten Vennootschap;Goudvink 5;;;;Numansdorp;3281RH;;NL;Goudvink 5;;;;Numansdorp;3281RH;;NL;NL;;FULLY_CORROBORATED;RA000463;24318790;724500A93Z8V1MJK5349
724500JSY5LM1CGP1114;27-12-2022;ISSUED;18-02-2014;18-02-2023;;;;;Havenbedrijf Rotterdam N.V.;ACTIVE;RA000463;24354561;Naamloze Vennootschap;Wilhelminakade 909;;;;Rotterdam;3072AP;;NL;Wilhelminakade 909;;;;Rotterdam;3072AP;;NL;NL;;FULLY_CORROBORATED;RA000463;24354561;724500A93Z8V1MJK5349
724500J23EGY55ZHCW72;27-12-2022;ISSUED;12-01-2022;12-01-2023;;;;;Kwekerij P&M van der Knaap B.V.;ACTIVE;RA000463;52382753;Besloten Vennootschap;Middenzwet 11;;;;Wateringen;2291HM;;NL;Middenzwet 11;;;;Wateringen;2291HM;;NL;NL;;FULLY_CORROBORATED;RA000463;52382753;724500A93Z8V1MJK5349
7245005ZISX78KOZC803;27-12-2022;ISSUED;19-02-2018;19-02-2023;;;;;Valmos Apeldoorn B.V.;ACTIVE;RA000463;08045836;Besloten Vennootschap;Bouwhofweg 24;;;;Ugchelen;7339HA;;NL;Bouwhofweg 24;;;;Ugchelen;7339HA;;NL;NL;;FULLY_CORROBORATED;RA000463;08045836;724500A93Z8V1MJK5349
724500BIOZ6BA3MPJL55;27-12-2022;ISSUED;18-02-2014;18-02-2023;;;;;J. Kersten B.V.;ACTIVE;RA000463;30106287;Besloten Vennootschap;Galvanibaan 14;;;;Nieuwegein;3439MG;;NL;Galvanibaan 14;;;;Nieuwegein;3439MG;;NL;NL;;FULLY_CORROBORATED;RA000463;30106287;724500A93Z8V1MJK5349
724500WGEZXAE17CPT08;27-12-2022;ISSUED;27-12-2022;27-12-2023;;;;;Stichting Beer;ACTIVE;RA000463;77384253;Stichting;Thorbeckestraat 19;;;;Delft;2613BT;;NL;Thorbeckestraat 19;;;;Delft;2613BT;;NL;NL;;FULLY_CORROBORATED;RA000463;77384253;724500A93Z8V1MJK5349
724500JETOXWZLK8QH79;27-12-2022;ISSUED;27-12-2022;27-12-2023;;;;;Mugiwara Hodling B.V.;ACTIVE;RA000463;72264071;Besloten Vennootschap;Emmasingel 25;;;;Hendrik-Ido-Ambacht;3341XD;;NL;Emmasingel 25;;;;Hendrik-Ido-Ambacht;3341XD;;NL;NL;;FULLY_CORROBORATED;RA000463;72264071;724500A93Z8V1MJK5349
724500ILWMUSRE09E862;27-12-2022;ISSUED;27-12-2022;27-12-2023;;;;;Van der Lee Holding Boekel B.V.;ACTIVE;RA000463;16075348;Besloten Vennootschap;Elzen 8b;;;;Boekel;5427RC;;NL;Elzen 8b;;;;Boekel;5427RC;;NL;NL;;FULLY_CORROBORATED;RA000463;16075348;724500A93Z8V1MJK5349
724500KUQ154SN3VO848;27-12-2022;ISSUED;27-12-2022;27-12-2023;;;;;Jacht Blik B.V.;ACTIVE;RA000463;04063403;Besloten Vennootschap;Blikweg 7;;;;Fluitenberg;7931TP;;NL;Blikweg 7;;;;Fluitenberg;7931TP;;NL;NL;;FULLY_CORROBORATED;RA000463;04063403;724500A93Z8V1MJK5349
724500PJWALY18JWCJ52;27-12-2022;ISSUED;27-12-2022;27-12-2023;;;;;Octigenti B.V.;ACTIVE;RA000463;87162393;Besloten Vennootschap;Economenlaan 12;;;;Tilburg;5037GG;;NL;Economenlaan 12;;;;Tilburg;5037GG;;NL;NL;;FULLY_CORROBORATED;RA000463;87162393;724500A93Z8V1MJK5349
724500I36PG48LCMOL52;27-12-2022;ISSUED;27-12-2022;27-12-2023;;;;;NAOVI Beheer B.V.;ACTIVE;RA000463;88489574;Besloten Vennootschap;Noordstraat 23d;;;;Bodegraven;2411BG;;NL;Noordstraat 23d;;;;Bodegraven;2411BG;;NL;NL;;FULLY_CORROBORATED;RA000463;88489574;724500A93Z8V1MJK5349
724500631MIR416WOE21;27-12-2022;ISSUED;27-12-2022;27-12-2023;;;;;Cinco B.V.;ACTIVE;RA000463;85407127;Besloten Vennootschap;Pelmolen 22;;;;Koog aan de Zaan;1541RZ;;NL;Pelmolen 22;;;;Koog aan de Zaan;1541RZ;;NL;NL;;FULLY_CORROBORATED;RA000463;85407127;724500A93Z8V1MJK5349
724500925UPZH98OKZ68;27-12-2022;ISSUED;27-12-2022;27-12-2023;;;;;Iusta Causa B.V.;ACTIVE;RA000463;28101453;Besloten Vennootschap;Gors 5;;;;Zeewolde;3891GS;;NL;Gors 5;;;;Zeewolde;3891GS;;NL;NL;;FULLY_CORROBORATED;RA000463;28101453;724500A93Z8V1MJK5349
724500ASR9SQZA7GWX04;27-12-2022;ISSUED;27-12-2022;27-12-2023;;;;;Foto en Chocola B.V.;ACTIVE;RA000463;76594408;Besloten Vennootschap;Moerendael 11;;;;Kortenhoef;1241HT;;NL;Moerendael 11;;;;Kortenhoef;1241HT;;NL;NL;;FULLY_CORROBORATED;RA000463;76594408;724500A93Z8V1MJK5349
724500PSZQJESWCI4X27;27-12-2022;ISSUED;27-12-2022;27-12-2023;;;;;Jacqcar1612 Beheer B.V.;ACTIVE;RA000463;73265144;Besloten Vennootschap;Raadhuisstraat 19;;;;Vorden;7251AA;;NL;Raadhuisstraat 19;;;;Vorden;7251AA;;NL;NL;;FULLY_CORROBORATED;RA000463;73265144;724500A93Z8V1MJK5349
7245006F0IFLDH2ZKQ17;27-12-2022;ISSUED;27-12-2022;27-12-2023;;;;;Stichting Weteringschans;ACTIVE;RA000463;78221579;Stichting;Weteringschans 43 2;;;;Amsterdam;1017RW;;NL;Weteringschans 43 2;;;;Amsterdam;1017RW;;NL;NL;;FULLY_CORROBORATED;RA000463;78221579;724500A93Z8V1MJK5349
724500W6NNFE6VWPYS56;27-12-2022;ISSUED;27-12-2022;27-12-2023;;;;;Kimai Holding B.V.;ACTIVE;RA000463;67348173;Besloten Vennootschap;Laan van Langerhuize 1;;;;Amstelveen;1186DS;;NL;Laan van Langerhuize 1;;;;Amstelveen;1186DS;;NL;NL;;FULLY_CORROBORATED;RA000463;67348173;724500A93Z8V1MJK5349
724500QUGHVX139NLM28;27-12-2022;ISSUED;27-12-2022;27-12-2023;;;;;Mack Support B.V.;ACTIVE;RA000463;80794475;Besloten Vennootschap;Peterhof 53;;;;Noordwijk;2201TG;;NL;Peterhof 53;;;;Noordwijk;2201TG;;NL;NL;;FULLY_CORROBORATED;RA000463;80794475;724500A93Z8V1MJK5349
724500XDBY02OE3W1V87;27-12-2022;ISSUED;27-12-2022;27-12-2023;;;;;Keytoe B.V.;ACTIVE;RA000463;53369130;Besloten Vennootschap;Dr. Kuyperkade 28;;;;Maassluis;3142GC;;NL;Dr. Kuyperkade 28;;;;Maassluis;3142GC;;NL;NL;;FULLY_CORROBORATED;RA000463;53369130;724500A93Z8V1MJK5349
7245007IEH3P7DK8GR33;27-12-2022;ISSUED;27-12-2022;27-12-2023;;;;;BWC Beheer B.V.;ACTIVE;RA000463;88491676;Besloten Vennootschap;Mathenesserweg 47A 02;;;;Rotterdam;3027HE;;NL;Mathenesserweg 47A 02;;;;Rotterdam;3027HE;;NL;NL;;FULLY_CORROBORATED;RA000463;88491676;724500A93Z8V1MJK5349
724500DF8LX5VEY5E710;27-12-2022;ISSUED;27-12-2022;27-12-2023;;;;;Beheersmaatschappij L.H. Haarhuis B.V.;ACTIVE;RA000463;06028813;Besloten Vennootschap;Markerichter 76;;;;Almelo;7603GA;;NL;Markerichter 76;;;;Almelo;7603GA;;NL;NL;;FULLY_CORROBORATED;RA000463;06028813;724500A93Z8V1MJK5349
724500SDFPU15G0VF403;27-12-2022;ISSUED;27-12-2022;27-12-2023;;;;;Horus B.V.;ACTIVE;RA000463;66408083;Besloten Vennootschap;Meliepark 52;;;;Vlijmen;5251EL;;NL;Meliepark 52;;;;Vlijmen;5251EL;;NL;NL;;FULLY_CORROBORATED;RA000463;66408083;724500A93Z8V1MJK5349
724500Y1DAA6NA1KP973;27-12-2022;ISSUED;27-12-2022;27-12-2023;;;;;Zonnepark Zonnewoud Zeewolde B.V.;ACTIVE;RA000463;78534038;Besloten Vennootschap;Maarssenbroeksedijk 37;;;;UTRECHT;3542DM;;NL;Maarssenbroeksedijk 37;;;;UTRECHT;3542DM;;NL;NL;;FULLY_CORROBORATED;RA000463;78534038;724500A93Z8V1MJK5349
724500MOJ515SMID3013;27-12-2022;ISSUED;19-01-2022;19-01-2023;;;;;Beheermaatschappij De Volmachten B.V.;ACTIVE;RA000463;04034544;Besloten Vennootschap;De Stelling 34;;;;Noordwolde;8391MD;;NL;De Stelling 34;;;;Noordwolde;8391MD;;NL;NL;;FULLY_CORROBORATED;RA000463;04034544;724500A93Z8V1MJK5349
724500O3O3QD83905738;27-12-2022;ISSUED;27-12-2022;27-12-2023;;;;;Stelling Beheer B.V.;ACTIVE;RA000463;30003367;Besloten Vennootschap;Dorpsstraat 14;;;;Harmelen;3481EK;;NL;Dorpsstraat 14;;;;Harmelen;3481EK;;NL;NL;;FULLY_CORROBORATED;RA000463;30003367;724500A93Z8V1MJK5349
72450084S011691L2625;27-12-2022;ISSUED;27-12-2022;27-12-2023;;;;;Stille Maatschap tussen Landbouwbedrijf Toonen B.V., Jmj Toonen, Fwm Toonen, Agg Toonen-Kooistra en Jpgj Hermans;ACTIVE;RA000463;54450489;Maatschap;Meedhuizerweg 7;;;;Meedhuizen;9937TJ;;NL;Meedhuizerweg 7;;;;Meedhuizen;9937TJ;;NL;NL;;FULLY_CORROBORATED;RA000463;54450489;724500A93Z8V1MJK5349
724500KUD3826A7MIK06;27-12-2022;ISSUED;27-12-2022;27-12-2023;;;;;EASTBIRD HOLDING B.V.;ACTIVE;RA000463;34244543;Besloten Vennootschap;Vrije Geer 3;;;;Amsterdam;1066EG;;NL;Vrije Geer 3;;;;Amsterdam;1066EG;;NL;NL;;FULLY_CORROBORATED;RA000463;34244543;724500A93Z8V1MJK5349
724500FRFEL75CU5MU77;27-12-2022;ISSUED;27-12-2022;27-12-2023;;;;;Fizarana B.V.;ACTIVE;RA000463;88321800;Besloten Vennootschap;Herikerbergweg 238;;;;Amsterdam;1101CM;;NL;Herikerbergweg 238;;;;Amsterdam;1101CM;;NL;NL;;FULLY_CORROBORATED;RA000463;88321800;724500A93Z8V1MJK5349
724500IRPFTZG5BA4G61;27-12-2022;ISSUED;27-12-2022;27-12-2023;;;;;Kaiser Holding B.V.;ACTIVE;RA000463;08098635;Besloten Vennootschap;Kormelinkweg 8;;;;Eibergen;7151NM;;NL;Kormelinkweg 8;;;;Eibergen;7151NM;;NL;NL;;FULLY_CORROBORATED;RA000463;08098635;724500A93Z8V1MJK5349
724500S3A42A2FD42H63;27-12-2022;ISSUED;03-01-2018;03-01-2023;;;;;Animali CV;ACTIVE;RA000463;69915822;Commanditaire Vennootschap;Animalipad 2;;;;Eindhoven;5644BG;;NL;Animalipad 2;;;;Eindhoven;5644BG;;NL;NL;;FULLY_CORROBORATED;RA000463;69915822;724500A93Z8V1MJK5349
724500Z7A9OQYIJ7KQ86;27-12-2022;ISSUED;27-12-2022;27-12-2023;;;;;Dimartinoconsulting Holding B.V.;ACTIVE;RA000463;86931369;Besloten Vennootschap;Gasthuisvest 33;;;;Haarlem;2011EV;;NL;Gasthuisvest 33;;;;Haarlem;2011EV;;NL;NL;;FULLY_CORROBORATED;RA000463;86931369;724500A93Z8V1MJK5349
72450048HH6N4OIO4U92;27-12-2022;ISSUED;13-12-2017;13-12-2023;;;;;Protestantse gemeente te Rolde;ACTIVE;RA000463;76457400;Kerkgenootschap;Kerkbrink 5;;;;Rolde;9451AL;;NL;Kerkbrink 5;;;;Rolde;9451AL;;NL;NL;;FULLY_CORROBORATED;RA000463;76457400;724500A93Z8V1MJK5349
72450090YYNL0JRS4G48;27-12-2022;ISSUED;16-08-2017;27-12-2023;;;;;Harry Boerhof Management en Lease B.V.;ACTIVE;RA000463;02048579;Besloten Vennootschap;Alinghoek 4;;;;Drouwen;9533PE;;NL;Alinghoek 4;;;;Drouwen;9533PE;;NL;NL;;FULLY_CORROBORATED;RA000463;02048579;724500A93Z8V1MJK5349
724500J99UFT1XB12S37;27-12-2022;ISSUED;04-12-2019;27-12-2023;;;;;Praktijk voor Orthodontie J.M.C. Ostyn B.V.;ACTIVE;RA000463;18083608;Besloten Vennootschap;Hoefweg 4;;;;Best;5684ND;;NL;Hoefweg 4;;;;Best;5684ND;;NL;NL;;FULLY_CORROBORATED;RA000463;18083608;724500A93Z8V1MJK5349
7245008MAUENXY32WP76;27-12-2022;ISSUED;21-02-2018;21-02-2023;;;;;Aurora Management Support B.V.;ACTIVE;RA000463;30265840;Besloten Vennootschap;Aventurijndreef 16;;;;Emmen;7828BT;;NL;Aventurijndreef 16;;;;Emmen;7828BT;;NL;NL;;FULLY_CORROBORATED;RA000463;30265840;724500A93Z8V1MJK5349
7245008DN6WJ3ZKF9Y68;27-12-2022;ISSUED;19-12-2017;19-12-2023;;;;;Nederlandse Stichting voor Leprabestrijding;ACTIVE;RA000463;41199723;Stichting;Wibautstraat 137K;;;;Amsterdam;1097DN;;NL;Wibautstraat 137K;;;;Amsterdam;1097DN;;NL;NL;;FULLY_CORROBORATED;RA000463;41199723;724500A93Z8V1MJK5349
724500X6LUHPSHGKG515;27-12-2022;ISSUED;20-02-2018;20-02-2023;;;;;Van Opstal Consulting B.V.;ACTIVE;RA000463;61885266;Besloten Vennootschap;Zocherpad 28;;;;Amersfoort;3822TK;;NL;Zocherpad 28;;;;Amersfoort;3822TK;;NL;NL;;FULLY_CORROBORATED;RA000463;61885266;724500A93Z8V1MJK5349
724500QQB8KC8IVBGQ50;27-12-2022;ISSUED;04-02-2014;04-02-2023;;;;;Penta Trading B.V.;ACTIVE;RA000463;20122663;Besloten Vennootschap;Brouwhuisplein 1 A1;;;;Breda;4811DP;;NL;Brouwhuisplein 1 A1;;;;Breda;4811DP;;NL;NL;;FULLY_CORROBORATED;RA000463;20122663;724500A93Z8V1MJK5349
724500TYHUCNM7VLI528;27-12-2022;ISSUED;19-02-2014;19-02-2023;;;;;F. Stoop B.V.;ACTIVE;RA000463;37032027;Besloten Vennootschap;Waarlandsweg 3a;;;;Waarland;1738DL;;NL;Waarlandsweg 3a;;;;Waarland;1738DL;;NL;NL;;FULLY_CORROBORATED;RA000463;37032027;724500A93Z8V1MJK5349
724500SUYQ1X6GP2RA17;27-12-2022;ISSUED;27-01-2020;27-01-2023;;;;;Hydrau Beheer B.V.;ACTIVE;RA000463;27111821;Besloten Vennootschap;Waterpas 94;;;;'s-Gravenhage;2495AT;;NL;Waterpas 94;;;;'s-Gravenhage;2495AT;;NL;NL;;FULLY_CORROBORATED;RA000463;27111821;724500A93Z8V1MJK5349
724500AA9V02QTXR7V26;27-12-2022;ISSUED;19-02-2014;19-02-2023;;;;;Metaal Transport Beheer B.V.;ACTIVE;RA000463;24106341;Besloten Vennootschap;Heijplaatweg 16;;;;Rotterdam;3089JC;;NL;Heijplaatweg 16;;;;Rotterdam;3089JC;;NL;NL;;FULLY_CORROBORATED;RA000463;24106341;724500A93Z8V1MJK5349
724500YXYLCZUC7G0I70;27-12-2022;ISSUED;02-02-2022;02-02-2023;;;;;De Mare Beheer B.V.;ACTIVE;RA000463;30050153;Besloten Vennootschap;Plantijnweg 11;;;;Culemborg;4104BC;;NL;Plantijnweg 11;;;;Culemborg;4104BC;;NL;NL;;FULLY_CORROBORATED;RA000463;30050153;724500A93Z8V1MJK5349
7245002LLL0D01QMMC05;27-12-2022;ISSUED;19-02-2018;19-02-2023;;;;;Derks Cardio Consult B.V.;ACTIVE;RA000463;62059122;Besloten Vennootschap;Utrechtseweg 28a;;;;Renswoude;3927AV;;NL;Utrechtseweg 28a;;;;Renswoude;3927AV;;NL;NL;;FULLY_CORROBORATED;RA000463;62059122;724500A93Z8V1MJK5349
7245005ZPV3EPKFI2Z98;27-12-2022;ISSUED;18-02-2021;18-02-2023;;;;;ABC Logistics B.V.;ACTIVE;RA000463;27273506;Besloten Vennootschap;ABC Westland 210;;;;Poeldijk;2685DC;;NL;ABC Westland 210;;;;Poeldijk;2685DC;;NL;NL;;FULLY_CORROBORATED;RA000463;27273506;724500A93Z8V1MJK5349
724500W94Q5E09SWUU33;27-12-2022;ISSUED;14-01-2014;14-01-2023;;;;;ESRI Nederland B.V.;ACTIVE;RA000463;24372523;Besloten Vennootschap;Weena 695;(B2.036);;;Rotterdam;3013AM;;NL;Weena 695;(B2.036);;;Rotterdam;3013AM;;NL;NL;;FULLY_CORROBORATED;RA000463;24372523;724500A93Z8V1MJK5349
7245002K4JOARX92U476;27-12-2022;ISSUED;13-02-2014;13-02-2023;;;;;Wessanen Finance B.V.;ACTIVE;RA000463;33283831;Besloten Vennootschap;Hoogoorddreef 5;2e etage;;;Amsterdam;1101BA;;NL;Hoogoorddreef 5;2e etage;;;Amsterdam;1101BA;;NL;NL;;FULLY_CORROBORATED;RA000463;33283831;724500A93Z8V1MJK5349
